Users of this data file should acknowledge the National Park Service.
NOTE: There are two parts to this file. Part I contains information on the sites selected.
Part II contains the actual data and begins on line 13.

Part I - Site Information
ABBR,AIRS_SITE_CODE,TIME_ZONE,LONG_DEC,LAT_DEC,ELEV_mMSL,SITE_NAME
JOTR-BR,06-071-9002,PST,116.3906,34.0714,1244,Joshua Tree National Park - Black Rock
JOTR-LH,06-065-9002,,116.1894,34.0181,1265,Joshua Tree National Monument - Lost Horse Ranger Station
LAVO-ML,06-089-3003,PST,121.5764,40.5403,1756,Lassen Volcanic National Park - Manzanita Lake Fire Stn.
PINN-ES,06-069-0003,PST,121.1556,36.4850,335,Pinnacles National Park - SW of East Entrance Stn.
SEKI-LK,06-107-0006,PST,118.7772,36.5658,1890,Sequoia and Kings Canyon National Parks - Lower Kaweah

Part II - Data
ABBR,PAR,DATE,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23,
JOTR-BR,O3_PPB,1/1/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/2/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/3/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/4/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/5/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/6/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/7/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/8/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/9/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/10/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/11/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/12/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/13/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/14/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/15/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/16/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/17/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/18/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/19/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/20/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/21/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/22/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/23/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/24/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/25/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/26/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/27/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/28/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/29/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/30/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,1/31/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/1/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/2/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/3/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/4/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/5/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/6/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/7/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/8/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/9/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/10/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/11/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/12/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/13/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/14/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/15/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/16/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/17/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/18/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/19/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/20/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/21/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/22/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/23/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/24/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/25/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/26/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/27/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,2/28/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,3/1/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,3/2/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,3/3/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,3/4/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,3/5/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,3/6/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,3/7/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,3/8/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,3/9/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,3/10/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
JOTR-BR,O3_PPB,3/11/1990 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
