Users of this data file should acknowledge the National Park Service.
NOTE: There are two parts to this file. Part I contains information on the sites selected.
Part II contains the actual data and begins on line 12.

Part I - Site Information
ABBR,AIRS_SITE_CODE,TIME_ZONE,LONG_DEC,LAT_DEC,ELEV_mMSL,SITE_NAME
JOTR-BR,06-071-9002,PST,116.3906,34.0714,1244,Joshua Tree National Park - Black Rock
LAVO-ML,06-089-3003,PST,121.5764,40.5403,1756,Lassen Volcanic National Park - Manzanita Lake Fire Stn.
PINN-ES,06-069-0003,PST,121.1556,36.4850,335,Pinnacles National Park - SW of East Entrance Stn.
SEKI-LK,06-107-0006,PST,118.7772,36.5658,1890,Sequoia and Kings Canyon National Parks - Lower Kaweah

Part II - Data
ABBR,PAR,DATE,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23,
JOTR-BR,O3_PPB,1/1/2015 12:00:00 AM,41,41,-999,41,42,41,42,40,40,42,42,42,42,43,43,42,40,39,39,40,40,41,41,41,
JOTR-BR,O3_PPB,1/2/2015 12:00:00 AM,41,40,-999,40,40,39,39,39,39,40,40,41,41,41,41,41,40,37,36,36,37,36,37,36,
JOTR-BR,O3_PPB,1/3/2015 12:00:00 AM,36,36,-999,35,36,35,36,37,38,40,39,38,42,39,42,42,40,38,38,36,35,35,35,34,
JOTR-BR,O3_PPB,1/4/2015 12:00:00 AM,33,33,-999,32,36,36,35,36,37,39,40,37,39,39,40,39,36,32,34,35,38,38,38,37,
JOTR-BR,O3_PPB,1/5/2015 12:00:00 AM,37,36,-999,40,41,41,41,42,43,43,43,43,42,42,41,40,38,37,37,37,38,37,38,37,
JOTR-BR,O3_PPB,1/6/2015 12:00:00 AM,38,36,-999,36,36,35,36,36,-999,-999,-999,39,39,39,39,38,35,34,34,34,34,35,34,34,
JOTR-BR,O3_PPB,1/7/2015 12:00:00 AM,33,31,-999,32,32,32,32,31,32,34,35,35,36,37,38,36,34,32,33,32,34,34,34,32,
JOTR-BR,O3_PPB,1/8/2015 12:00:00 AM,34,33,-999,33,32,33,33,33,33,34,35,37,39,40,41,40,37,31,30,29,29,31,34,36,
JOTR-BR,O3_PPB,1/9/2015 12:00:00 AM,36,36,-999,35,36,37,36,36,36,39,40,42,44,45,45,44,41,40,43,40,41,43,48,44,
JOTR-BR,O3_PPB,1/10/2015 12:00:00 AM,42,44,-999,45,45,46,46,46,48,49,48,49,50,51,52,55,55,55,53,55,54,54,56,57,
JOTR-BR,O3_PPB,1/11/2015 12:00:00 AM,55,51,-999,46,45,40,38,35,36,39,35,33,31,33,34,35,33,34,34,32,31,33,33,33,
JOTR-BR,O3_PPB,1/12/2015 12:00:00 AM,33,32,-999,33,34,30,30,30,31,33,34,34,35,36,36,37,34,32,22,18,21,22,25,24,
JOTR-BR,O3_PPB,1/13/2015 12:00:00 AM,22,26,-999,31,33,36,34,35,37,39,41,42,43,44,-999,43,42,38,38,37,36,35,33,33,
JOTR-BR,O3_PPB,1/14/2015 12:00:00 AM,32,32,-999,31,31,32,32,33,33,35,36,37,38,39,39,39,38,36,35,34,35,34,35,35,
JOTR-BR,O3_PPB,1/15/2015 12:00:00 AM,35,33,-999,34,34,33,32,31,35,37,38,38,39,40,39,39,37,32,33,33,33,34,35,35,
JOTR-BR,O3_PPB,1/16/2015 12:00:00 AM,36,37,-999,35,35,35,37,36,37,40,40,41,42,42,43,43,41,37,34,36,37,37,37,36,
JOTR-BR,O3_PPB,1/17/2015 12:00:00 AM,36,36,-999,36,35,35,36,37,39,41,43,43,44,45,46,45,41,36,37,39,39,39,39,39,
JOTR-BR,O3_PPB,1/18/2015 12:00:00 AM,38,38,-999,38,38,39,38,39,40,40,42,42,43,43,44,44,41,36,36,37,38,38,36,38,
JOTR-BR,O3_PPB,1/19/2015 12:00:00 AM,36,36,-999,41,40,36,37,38,38,40,39,43,41,42,44,44,43,42,39,38,39,39,39,38,
JOTR-BR,O3_PPB,1/20/2015 12:00:00 AM,38,38,-999,36,35,37,37,37,40,41,45,46,45,42,44,43,40,39,36,35,34,37,36,35,
JOTR-BR,O3_PPB,1/21/2015 12:00:00 AM,32,28,-999,32,33,34,35,35,36,35,35,37,38,40,42,42,41,41,40,39,40,41,40,41,
JOTR-BR,O3_PPB,1/22/2015 12:00:00 AM,41,41,-999,40,40,40,39,39,40,41,41,41,42,43,43,44,43,41,41,42,42,40,40,39,
JOTR-BR,O3_PPB,1/23/2015 12:00:00 AM,40,41,-999,39,39,39,40,42,42,44,44,44,44,42,42,42,40,39,37,37,37,37,38,37,
JOTR-BR,O3_PPB,1/24/2015 12:00:00 AM,37,38,-999,36,36,36,35,36,36,38,39,41,42,42,43,43,41,40,40,39,39,39,39,39,
JOTR-BR,O3_PPB,1/25/2015 12:00:00 AM,38,38,-999,38,38,38,38,38,37,37,37,37,37,38,39,38,37,35,35,36,35,34,34,35,
JOTR-BR,O3_PPB,1/26/2015 12:00:00 AM,35,36,-999,36,36,35,34,33,34,39,39,37,36,35,35,33,32,30,30,29,29,33,32,32,
JOTR-BR,O3_PPB,1/27/2015 12:00:00 AM,32,33,-999,33,33,33,33,33,33,33,32,32,37,37,-999,-999,38,36,26,22,22,24,24,26,
JOTR-BR,O3_PPB,1/28/2015 12:00:00 AM,27,25,-999,28,30,30,29,31,34,37,39,41,42,44,44,44,42,39,34,34,34,32,34,35,
JOTR-BR,O3_PPB,1/29/2015 12:00:00 AM,34,34,-999,34,35,33,33,33,34,36,36,36,36,37,37,36,35,32,34,32,33,36,36,36,
JOTR-BR,O3_PPB,1/30/2015 12:00:00 AM,37,38,-999,33,32,33,33,33,33,34,34,35,35,36,36,36,34,28,28,29,29,29,28,27,
JOTR-BR,O3_PPB,1/31/2015 12:00:00 AM,28,26,-999,28,28,28,28,27,27,27,27,27,28,28,29,29,30,29,28,29,30,30,31,31,
JOTR-BR,O3_PPB,2/1/2015 12:00:00 AM,31,31,-999,32,32,33,33,33,34,37,38,39,41,43,44,45,42,34,38,38,39,36,36,35,
JOTR-BR,O3_PPB,2/2/2015 12:00:00 AM,35,36,-999,35,37,38,39,40,43,44,44,45,47,48,48,47,45,37,43,43,39,37,38,37,
JOTR-BR,O3_PPB,2/3/2015 12:00:00 AM,36,34,-999,34,34,33,34,35,39,35,36,38,41,42,-999,45,-999,43,37,38,33,30,30,28,
JOTR-BR,O3_PPB,2/4/2015 12:00:00 AM,29,26,-999,29,32,31,30,32,31,33,33,36,40,47,56,58,54,57,49,48,47,49,48,45,
